0.028  12.529
0.054  12.903
0.081  13.328
0.109  12.444
0.137  12.886
0.165  12.869
0.193  12.427
0.220  12.886
0.248  12.478
0.276  12.495
0.305  12.478
0.333  13.005
0.360  12.937
0.389  12.529
0.416  12.563
0.444  13.005
0.473  12.631
0.501  12.563
0.529  12.529
0.557  12.563
0.586  12.529
0.614  12.563
0.642  12.563
0.671  12.954
0.699  12.954
0.728  13.005
0.756  13.005
0.784  12.563
0.813  12.546
0.841  12.580
0.870  12.563
0.898  12.648
0.927  11.883
0.956  13.209
0.984  13.957
1.013  15.385
1.041  16.388
1.070  16.881
1.098  19.652
1.127  19.720
1.156  21.573
1.184  22.593
1.213  23.137
1.241  24.072
1.270  25.109
1.299  26.469
1.328  26.996
1.356  28.033
1.384  28.968
1.412  30.379
1.440  32.164
1.468  34.034
1.496  34.986
1.525  35.139
1.554  35.683
1.583  36.686
1.611  37.706
1.640  38.284
1.669  39.338
1.698  40.324
1.727  40.885
1.756  41.854
1.785  42.874
1.814  43.860
1.843  45.322
1.872  48.025
1.900  46.869
1.928  48.246
1.956  51.408
1.984  50.252
2.014  51.663
2.043  51.459
2.073  52.428
2.102  54.383
2.132  54.502
2.161  56.389
2.189  57.375
2.219  58.378
2.249  58.990
2.279  60.010
2.309  61.880
2.339  62.084
2.369  62.696
2.399  64.549
2.429  65.178
2.460  66.640
2.491  67.694
2.522  67.915
2.553  69.020
2.584  71.332
2.615  71.553
2.646  74.766
2.677  74.494
2.713  158.015
2.743  77.571
2.774  77.758
2.805  78.013
2.836  81.107
2.867  80.036
2.899  82.382
2.931  84.677
2.963  87.924
2.995  88.519
3.027  87.363
3.059  86.343
3.091  89.896
3.123  87.924
3.155  89.403
3.188  95.115
3.220  91.443
3.253  105.978
3.286  93.908
3.317  94.962
3.350  95.965
3.383  97.818
3.415  97.920
3.448  98.974
3.480  100.793
3.511  102.153
3.544  101.439
3.577  102.867
3.610  103.853
3.643  105.196
3.677  117.130
3.709  105.400
3.743  111.520
3.777  109.888
3.809  108.205
3.843  110.517
3.877  110.636
3.911  113.730
3.945  113.407
3.978  113.883
4.012  114.835
4.045  118.337
4.080  120.071
4.114  121.040
4.147  118.881
4.181  107.593

