0.0000,21.1
0.0806,22.3
0.1304,23.8
0.1805,25.0
0.2306,26.1
0.2807,26.9
0.3307,27.6
0.3807,30.1
0.4308,30.4
0.4808,32.0
0.5309,33.6
0.5810,34.8
0.6311,35.5
0.6812,38.0
0.7312,37.8
0.7812,39.0
0.8313,40.2
0.8813,40.8
0.9314,42.0
0.9814,43.1
1.0315,43.8
1.0815,44.9
1.1316,46.1
1.1816,47.2
1.2317,48.3
1.2818,49.8
1.3319,50.4
1.3818,51.1
1.4319,52.6
1.4819,53.7
1.5320,55.1
1.5821,55.8
1.6321,56.4
1.6821,57.9
1.7322,58.5
1.7822,60.4
1.8323,61.0
1.8823,62.6
1.9324,62.8
1.9824,64.3
2.0325,65.5
2.0826,66.1
2.1326,67.7
2.1827,68.4
2.2327,70.0
2.2828,71.9
2.3329,72.7
2.3829,73.4
2.4330,75.0
2.4831,76.7
2.5331,76.7
2.5831,79.2
2.6333,80.0
2.6833,81.3
2.7334,81.7
2.7834,83.9
2.8335,86.0
2.8836,85.6
2.9336,87.3
2.9837,89.4
