0.029  16.813
0.056  16.796
0.083  16.813
0.110  16.796
0.138  16.779
0.166  16.779
0.194  16.813
0.222  16.813
0.250  16.813
0.278  16.830
0.306  16.813
0.334  16.796
0.362  16.779
0.389  16.779
0.417  16.779
0.445  16.779
0.473  16.830
0.500  16.796
0.528  16.813
0.556  16.830
0.584  16.796
0.612  16.813
0.640  16.813
0.668  16.881
0.697  16.745
0.725  18.224
0.753  18.207
0.781  19.856
0.809  20.570
0.837  21.794
0.865  22.168
0.894  22.933
0.922  23.834
0.951  25.840
0.979  26.248
1.008  26.571
1.036  27.778
1.064  28.594
1.093  29.801
1.121  30.158
1.149  31.314
1.178  32.113
1.207  33.422
1.235  33.320
1.264  34.085
1.293  34.510
1.322  37.009
1.350  38.233
1.379  37.740
1.408  37.689
1.437  41.463
1.466  40.596
1.494  40.545
1.523  41.803
1.552  42.160
1.582  42.568
1.610  45.084
1.640  43.792
1.668  46.699
1.697  46.240
1.727  49.198
1.755  48.314
1.785  49.147
1.814  50.405
1.843  51.646
1.872  54.213
1.901  53.686
1.930  55.012
1.960  55.420
1.988  54.111
2.017  55.267
2.047  56.950
2.077  56.950
2.107  58.259
2.137  58.684
2.167  59.058
2.197  59.534
2.227  60.860
2.257  61.234
2.287  62.050
2.317  62.917
2.347  64.226
2.377  65.484
2.408  68.051
2.438  67.609
2.469  68.850
2.500  69.326
2.530  73.134
2.561  70.618
2.591  72.709
2.621  73.134
2.652  74.919
2.683  77.435
2.714  78.710
2.749  138.533
2.782  106.658
2.813  77.775
2.844  86.224
2.874  76.500
2.910  165.478
2.943  106.233
2.978  139.825
3.009  85.272
3.041  78.625
3.072  84.898
3.103  85.748
3.135  87.907
3.167  86.598
3.198  87.431
3.230  88.706
3.262  91.324
3.295  90.865
3.328  92.242
3.361  92.208
3.391  77.401
3.424  93.449
3.457  95.659
3.489  95.166
3.522  96.917
3.555  99.093
3.588  96.968
3.620  99.025
3.653  101.150
3.686  100.759
3.719  100.674
3.750  100.300
3.782  104.040
3.814  103.564
3.848  104.771
3.880  104.788
3.914  104.873
3.948  105.995
3.981  101.949
4.014  110.721
4.048  109.072
4.081  107.440

